"","b_goal_60","b_goal_90","b_form_voucher","b_form_donate","b_mag_300","b_mag_500","b_dir_neg"
"b_goal_60",0.00705035444975482,0.00496385050709218,0.00178370782361369,0.00147022307986863,0.000960932216460151,-0.000534262434692626,-0.000115827524139164
"b_goal_90",0.00496385050709218,0.00890455788179669,0.001853171061621,0.00196058871779266,-0.000767220140583896,-0.000433373821739246,0.000301532862133971
"b_form_voucher",0.00178370782361369,0.001853171061621,0.00576810518273977,0.0049680946961785,-0.000103323453136661,-0.000250962383221572,-0.000195872781056559
"b_form_donate",0.00147022307986863,0.00196058871779266,0.0049680946961785,0.012844095124377,-0.00164638924288847,-0.0029138697264727,-0.000358930315720921
"b_mag_300",0.000960932216460151,-0.000767220140583896,-0.000103323453136661,-0.00164638924288847,0.00637280159822666,0.0037751429379544,-0.00022916566273581
"b_mag_500",-0.000534262434692626,-0.000433373821739247,-0.000250962383221572,-0.0029138697264727,0.0037751429379544,0.00784004016267441,-0.000383037409313259
"b_dir_neg",-0.000115827524139164,0.00030153286213397,-0.000195872781056559,-0.000358930315720921,-0.00022916566273581,-0.000383037409313259,0.00299834833904645
