"","b_goal_60","b_goal_90","b_form_voucher","b_form_donate","b_mag_300","b_mag_500","b_dir_neg"
"b_goal_60",1,0.485104542390929,0.0958273188329453,0.0666521464658656,0.0773348769433697,0.00532595134253494,-0.00350957373185557
"b_goal_90",0.485104542390929,1,0.121699106266082,0.255987310818239,-0.159059226973725,-0.134549114090786,0.0497196474095456
"b_form_voucher",0.0958273188329453,0.121699106266082,1,0.494567053883476,-0.108015545890517,-0.118497501188711,-0.0551593527099197
"b_form_donate",0.0666521464658656,0.255987310818239,0.494567053883476,1,-0.261343528321671,-0.260870881029485,0.0908874079532045
"b_mag_300",0.0773348769433697,-0.159059226973725,-0.108015545890517,-0.261343528321671,1,0.508105511259001,-0.0382085407844119
"b_mag_500",0.00532595134253494,-0.134549114090786,-0.118497501188711,-0.260870881029485,0.508105511259001,1,-0.113851147997715
"b_dir_neg",-0.00350957373185557,0.0497196474095456,-0.0551593527099197,0.0908874079532045,-0.0382085407844119,-0.113851147997715,1
