"","b_goal_60","b_goal_90","b_form_voucher","b_form_donate","b_mag_300","b_mag_500","b_dir_neg"
"b_goal_60",0.00596056717077923,0.00285269133200481,0.000525742999890469,0.000444239475616263,0.000485089502909216,3.06911658503503e-05,-1.45544963380897e-05
"b_goal_90",0.00285269133200481,0.00580164693686677,0.000658723876445823,0.00168326812922674,-0.000984322018896514,-0.000764942672788964,0.000203424241449921
"b_form_voucher",0.000525742999890469,0.000658723876445823,0.00504987626659334,0.00303406419298168,-0.000623633330238223,-0.000628524135243407,-0.000210551600351333
"b_form_donate",0.000444239475616263,0.00168326812922674,0.00303406419298168,0.007452782192464,-0.00183304720619499,-0.0016809593759436,0.000421465421597084
"b_mag_300",0.000485089502909216,-0.000984322018896514,-0.000623633330238223,-0.00183304720619499,0.00660093368206166,0.00308126455952185,-0.000166748583668439
"b_mag_500",3.06911658503503e-05,-0.000764942672788964,-0.000628524135243407,-0.0016809593759436,0.00308126455952185,0.00557114929495786,-0.000456466415220907
"b_dir_neg",-1.45544963380897e-05,0.000203424241449921,-0.000210551600351333,0.000421465421597084,-0.000166748583668439,-0.000456466415220907,0.00288534689402999
