"","b_goal_60","b_goal_90","b_form_voucher","b_form_donate","b_mag_300","b_mag_500","b_dir_neg"
"b_goal_60",1,0.626479749630917,0.279705918449325,0.154499117762213,0.143358048123544,-0.0718604644080618,-0.0251921512078727
"b_goal_90",0.626479749630917,1,0.258578697522198,0.183327899234202,-0.101847087834395,-0.0518677429088012,0.0583562567193773
"b_form_voucher",0.279705918449325,0.258578697522198,1,0.57719362134155,-0.0170418652702241,-0.0373192494283725,-0.0470995177847014
"b_form_donate",0.154499117762213,0.183327899234202,0.57719362134155,1,-0.181976607402029,-0.290375005472256,-0.0578385425833802
"b_mag_300",0.143358048123544,-0.101847087834395,-0.0170418652702241,-0.181976607402029,1,0.534083372279869,-0.0524255871352692
"b_mag_500",-0.0718604644080618,-0.0518677429088013,-0.0373192494283725,-0.290375005472256,0.534083372279869,1,-0.0790025308938603
"b_dir_neg",-0.0251921512078727,0.0583562567193773,-0.0470995177847014,-0.0578385425833802,-0.0524255871352692,-0.0790025308938603,1
