"b_goal_30","b_goal_60","b_goal_90","b_form_cash","b_form_voucher","b_form_donate","b_mag_160","b_mag_300","b_mag_500","b_dir_pos","b_dir_neg","logLike"
0,0,0,0,0,0,0,0,0,0,0,-1590.07963220451
0.2496,0.0488,-0.2984,0.5552,0.2208,-0.776,-0.28,0.036,0.244,-0.0128,0.0128,-1141.18736406417
0.234757712916072,0.0959552908073383,-0.33071300372341,0.562530367389935,0.206536173094479,-0.769066540484414,-0.30323246086392,0.0665151303111473,0.236717330552773,0.0248925897329534,-0.0248925897329534,-1138.33396918468
0.22614051492778,0.119577713891947,-0.345718228819727,0.559557147537299,0.204560764214034,-0.764117911751334,-0.318145471879899,0.0835767403373574,0.234568731542542,0.0102458768868329,-0.0102458768868329,-1137.75361354014
0.208608147953999,0.113726689753455,-0.322334837707454,0.547803923919678,0.251933939704138,-0.799737863623814,-0.329541009704059,0.132625902879572,0.196915106824488,0.0137252866525682,-0.0137252866525674,-1137.42580663962
0.398997026723782,0.250546331910162,-0.64954335863393,0.921409428648938,0.386168860088351,-1.30757828873723,-0.362191042967324,0.102986530254052,0.259204512713316,0.0163495314818818,-0.0163495314818421,-1117.66258742091
0.415604675500054,0.224411257997814,-0.640015933497852,0.940973506696356,0.383070560773114,-1.3240440674694,-0.443402741177689,0.12201269605421,0.321390045123526,0.0233581384992846,-0.023358138499242,-1111.40183992209
0.419350649406181,0.212428782448827,-0.631779431854993,0.963871480219514,0.357392871215432,-1.32126435143488,-0.444737039984645,0.138303468883077,0.306433571101614,0.0194857887289024,-0.0194857887288601,-1111.33379783765
0.450009365401451,0.194658670717052,-0.644668036118487,0.946702480736044,0.356119371309936,-1.30282185204592,-0.451426356319982,0.152824818764146,0.298601537555884,0.0209055548435701,-0.0209055548435305,-1110.42123674724
0.317622040603221,0.153287218208496,-0.470909258811691,0.824239591868609,0.291515594785084,-1.11575518665366,-0.531813840657384,0.148752643535983,0.383061197121479,0.0359343787396906,-0.0359343787397087,-1100.80456762933
0.355644088649664,0.163216553081092,-0.518860641730788,0.829569521150335,0.310057895939004,-1.13962741708936,-0.494583014195174,0.146136883977881,0.348446130217301,0.032138480851942,-0.0321384808519812,-1099.46164119737
0.352900846058278,0.161764819713713,-0.514665665771995,0.826411307409921,0.307498973196273,-1.13391028060618,-0.493371080660491,0.145764160303867,0.347606920356686,0.0312850705136999,-0.0312850705136885,-1099.4518933027
0.352866279879314,0.161604727988206,-0.51447100786747,0.826295242814058,0.307494203039897,-1.13378944585388,-0.493312304046467,0.145487865000212,0.347824439046369,0.0311029246023549,-0.0311029246022781,-1099.45182067426
0.352907164616935,0.16156187785948,-0.514469042476344,0.826310213061789,0.307472291107827,-1.13378250416951,-0.493283732674846,0.145436375967077,0.347847356707889,0.0310602630497473,-0.0310602630496685,-1099.45181809077
0.352907201847848,0.161561851575106,-0.514469053422883,0.826310229305409,0.307472279279899,-1.1337825085852,-0.493283710985316,0.145436329453833,0.347847381531604,0.0310601887765083,-0.0310601887764295,-1099.45181809076
